"TimePeriod","CampaignId","CampaignName","DeviceType","Network","Impressions","Clicks","Spend","Ctr","AverageCpc","QualityScore","AdDistribution","AverageCpm"
"2019-11-02","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","353","7","0.63","1.98%","0.09","--","Search","1.78"
"2019-11-02","353847373","Main Shopping - Important Items","Tablet","Audience","3","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-03","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","4993","42","7.59","0.84%","0.18","--","Search","1.52"
"2019-11-03","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","421","1","0.14","0.24%","0.14","--","Search","0.33"
"2019-11-03","353847373","Main Shopping - Important Items","Computer","AOL search","36","1","0.21","2.78%","0.21","--","Search","5.83"
"2019-11-03","353847373","Main Shopping - Important Items","Computer","Audience","161","3","0.33","1.86%","0.11","--","Audience","2.05"
"2019-11-03","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","653","9","0.93","1.38%","0.10","--","Search","1.42"
"2019-11-03","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","9658","27","0.82","0.28%","0.03","--","Search","0.08"
"2019-11-03","353847373","Main Shopping - Important Items","Smartphone","Audience","74","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-03","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","127","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-03","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","337","1","0.02","0.30%","0.02","--","Search","0.06"
"2019-11-03","353847373","Main Shopping - Important Items","Tablet","AOL search","3","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-03","353847373","Main Shopping - Important Items","Tablet","Audience","4","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-04","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","24184","304","175.43","1.26%","0.58","--","Search","7.25"
"2019-11-04","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","901","5","1.03","0.55%","0.21","--","Search","1.14"
"2019-11-04","353847373","Main Shopping - Important Items","Computer","AOL search","142","3","1.36","2.11%","0.45","--","Search","9.58"
"2019-11-04","353847373","Main Shopping - Important Items","Computer","Audience","5403","31","16.63","0.57%","0.54","--","Audience","3.08"
"2019-11-04","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1294","23","5.00","1.78%","0.22","--","Search","3.86"
"2019-11-04","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","11546","46","3.84","0.40%","0.08","--","Search","0.33"
"2019-11-04","353847373","Main Shopping - Important Items","Smartphone","Audience","422","2","0.44","0.47%","0.22","--","Audience","1.04"
"2019-11-04","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","165","9","1.91","5.45%","0.21","--","Search","11.58"
"2019-11-04","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","271","4","0.50","1.48%","0.13","--","Search","1.85"
"2019-11-04","353847373","Main Shopping - Important Items","Tablet","AOL search","2","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-04","353847373","Main Shopping - Important Items","Tablet","Audience","6","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-05","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","23890","301","177.61","1.26%","0.59","--","Search","7.43"
"2019-11-05","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","825","8","3.63","0.97%","0.45","--","Search","4.40"
"2019-11-05","353847373","Main Shopping - Important Items","Computer","AOL search","125","3","1.64","2.40%","0.55","--","Search","13.12"
"2019-11-05","353847373","Main Shopping - Important Items","Computer","Audience","4637","27","16.07","0.58%","0.60","--","Audience","3.47"
"2019-11-05","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1199","18","4.83","1.50%","0.27","--","Search","4.03"
"2019-11-05","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","10924","42","3.50","0.38%","0.08","--","Search","0.32"
"2019-11-05","353847373","Main Shopping - Important Items","Smartphone","Audience","409","2","0.46","0.49%","0.23","--","Audience","1.12"
"2019-11-05","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","135","4","0.65","2.96%","0.16","--","Search","4.81"
"2019-11-05","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","226","1","0.24","0.44%","0.24","--","Search","1.06"
