"TimePeriod","CampaignId","CampaignName","DeviceType","Network","Impressions","Clicks","Spend","Ctr","AverageCpc","QualityScore","AdDistribution","AverageCpm"
"2020-01-01","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","26830","268","160.67","1.00%","0.60","--","Search","5.99"
"2020-01-01","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1565","10","3.46","0.64%","0.35","--","Search","2.21"
"2020-01-01","353847373","Main Shopping - Important Items","Computer","AOL search","168","2","1.60","1.19%","0.80","--","Search","9.52"
"2020-01-01","353847373","Main Shopping - Important Items","Computer","Audience","6488","46","20.53","0.71%","0.45","--","Audience","3.16"
"2020-01-01","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","3129","36","8.89","1.15%","0.25","--","Search","2.84"
"2020-01-01","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","19329","80","8.68","0.41%","0.11","--","Search","0.45"
"2020-01-01","353847373","Main Shopping - Important Items","Smartphone","AOL search","2","0","0.00","0.00%","0.00","--","Search","0.00"
"2020-01-01","353847373","Main Shopping - Important Items","Smartphone","Audience","581","6","0.77","1.03%","0.13","--","Audience","1.33"
"2020-01-01","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","574","3","0.96","0.52%","0.32","--","Search","1.67"
"2020-01-01","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","949","4","0.20","0.42%","0.05","--","Search","0.21"
"2020-01-01","353847373","Main Shopping - Important Items","Tablet","AOL search","7","0","0.00","0.00%","0.00","--","Search","0.00"
"2020-01-01","353847373","Main Shopping - Important Items","Tablet","Audience","40","1","0.35","2.50%","0.35","--","Audience","8.75"
"2020-01-02","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","31638","325","179.19","1.03%","0.55","--","Search","5.66"
"2020-01-02","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1096","7","3.00","0.64%","0.43","--","Search","2.74"
